Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q2[kworker/169:2]: count 3, average 11782, total 35346


@q4[ksoftirqd/169]: count 2833, average 961, total 2724015
@q4[openssl]: count 39794, average 961, total 38245631
@q4[kworker/169:2]: count 89, average 1292, total 115072

@q5[ksoftirqd/169]: count 21893, average 432, total 9472149
@q5[openssl]: count 312033, average 433, total 135292911
@q5[kworker/169:2]: count 700, average 477, total 334365

@uc: count 2382, average 5524, total 13159028

@q1[openssl]: count 913, average 2509, total 2290729
@q1[ksoftirqd/169]: count 153, average 2693, total 412175

@q2[openssl]: count 1587, average 652, total 1036199
@q2[ksoftirqd/169]: count 209, average 686, total 143470


@q4[openssl]: count 40293, average 959, total 38653093
@q4[ksoftirqd/169]: count 2592, average 960, total 2490202

@q5[ksoftirqd/169]: count 19989, average 432, total 8652499
@q5[openssl]: count 315852, average 433, total 136884624

@uc: count 2185, average 5635, total 12312596

@q1[openssl]: count 862, average 2427, total 2092476
@q1[ksoftirqd/169]: count 133, average 2524, total 335718

@q2[ksoftirqd/169]: count 215, average 653, total 140539
@q2[openssl]: count 1568, average 654, total 1026725


@q4[ksoftirqd/169]: count 2690, average 961, total 2585655
@q4[openssl]: count 39843, average 962, total 38337344

@q5[ksoftirqd/169]: count 20753, average 433, total 9000289
@q5[openssl]: count 312360, average 433, total 135505281

@uc: count 2005, average 5460, total 10948118

@q1[openssl]: count 887, average 2455, total 2178247
@q1[ksoftirqd/169]: count 132, average 2761, total 364559

@q2[openssl]: count 1616, average 648, total 1047805
@q2[ksoftirqd/169]: count 202, average 666, total 134611
@q2[kworker/169:2]: count 2, average 18855, total 37711


@q4[ksoftirqd/169]: count 2364, average 952, total 2252112
@q4[openssl]: count 40389, average 959, total 38763834
@q4[kworker/169:2]: count 53, average 1641, total 86982

@q5[ksoftirqd/169]: count 18233, average 434, total 7917651
@q5[openssl]: count 316675, average 435, total 137774813
@q5[kworker/169:2]: count 416, average 514, total 214202

@uc: count 2003, average 5112, total 10241162

@q1[openssl]: count 856, average 2453, total 2099949
@q1[ksoftirqd/169]: count 133, average 2662, total 354100

@q2[openssl]: count 1570, average 650, total 1020546
@q2[ksoftirqd/169]: count 217, average 658, total 142904


@q4[ksoftirqd/169]: count 2786, average 952, total 2654219
@q4[openssl]: count 39768, average 957, total 38059157

@q5[ksoftirqd/169]: count 21543, average 433, total 9345575
@q5[openssl]: count 311785, average 433, total 135097864

@uc: count 2207, average 5851, total 12913899

@q1[openssl]: count 902, average 2467, total 2225517
@q1[ksoftirqd/169]: count 142, average 2610, total 370742

