,cn,comm,ues,count,pid,time,time (ms),tool,diff
216,free5gc,udr,10,8490,18620,22:43:52,278095.628789,sysprocess,628.0
217,free5gc,multipathd,10,292,460,22:43:52,233027.577118,sysprocess,0.0
218,free5gc,mongod,10,8301,13372,22:43:52,1253970.660275,sysprocess,126.0
219,free5gc,smf,10,10,18610,22:43:52,11.016203,sysprocess,0.0
220,free5gc,systemd,10,181,1,22:43:52,58970.373039,sysprocess,4.6
221,free5gc,dbus-daemon,10,107,683,22:43:52,4.667631,sysprocess,0.0
222,free5gc,ausf,10,4214,18654,22:43:52,64736.967828,sysprocess,527.2
223,free5gc,snapd,10,106,694,22:43:52,4.706976,sysprocess,18.6
224,free5gc,udm,10,9960,18639,22:43:52,67048.648671,sysprocess,1202.2
225,free5gc,irqbalance,10,92,688,22:43:52,59998.84654,sysprocess,3.2
226,free5gc,udisksd,10,30,700,22:43:52,2.901189,sysprocess,-2.4
227,free5gc,systemd-udevd,10,68,364,22:43:52,12.574724,sysprocess,-1.2
228,free5gc,accounts-daemon,10,321,679,22:43:52,68970.419555,sysprocess,1.0
229,free5gc,systemd-logind,10,89,695,22:43:52,5.49033,sysprocess,0.0
230,free5gc,nssf,10,10,18646,22:43:52,10.916382,sysprocess,0.0
231,free5gc,systemd-resolve,10,43,590,22:43:52,0.251507,sysprocess,
232,free5gc,systemd-network,10,74,569,22:43:52,34347.668487,sysprocess,5.0
233,oai,[unknown],10,1406,69303,15:48:43,3915.776759,sysprocess,63.6
234,free5gc,ModemManager,10,36,772,22:43:52,3.161725,sysprocess,-1.2
235,free5gc,nrf,10,6371,18587,22:43:52,287812.048539,sysprocess,493.4
236,free5gc,pcf,10,3008,18629,22:43:52,258970.736044,sysprocess,160.4
237,free5gc,polkitd,10,62,691,22:43:52,9.850968,sysprocess,-1.2
238,free5gc,amf,10,19659,18598,22:43:52,322918.137519,sysprocess,639.8
239,free5gc,systemd-timesyn,10,12,493,22:43:52,0.069538,sysprocess,
240,oai,systemd-logind,50,446,608,17:54:48,557.864857,sysprocess,0.0
241,open5gs,open5gs-udrd,50,4005,51798,14:44:47,60003.350919,sysprocess,73.95
242,free5gc,sshd,50,3,59763,06:45:00,0.033107,sysprocess,0.0
243,oai,systemd-udevd,50,2343,364,17:54:48,3829.193405,sysprocess,0.475
244,free5gc,systemd-network,50,93,43784,06:45:00,56063.312694,sysprocess,0.475
245,free5gc,dbus-daemon,50,158,683,06:45:00,1.956114,sysprocess,1.275
246,free5gc,systemd-logind,50,117,695,06:45:00,5.329051,sysprocess,0.7
247,oai,systemctl,50,583,82219,17:54:48,389.136697,sysprocess,-0.2
248,open5gs,open5gs-upfd,50,63,51780,14:44:47,66028.017813,sysprocess,0.0
249,open5gs,open5gs-smfd,50,1807,51819,14:44:47,615397.340219,sysprocess,-14.75
250,oai,systemd-journal,50,3119,332,17:54:48,67770.881366,sysprocess,0.45
251,free5gc,systemd,50,164,1,06:45:00,33182.059774,sysprocess,-0.425
252,open5gs,open5gs-udmd,50,11630,51816,14:44:47,59924.206374,sysprocess,243.975
253,free5gc,ausf,50,53065,18654,06:45:00,16796.196611,sysprocess,1221.275
254,oai,systemd-network,50,21,545,17:54:48,25343.504058,sysprocess,-2.35
