Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@uc: count 2192, average 5833, total 12788008

@q1[ksoftirqd/169]: count 162, average 2509, total 406598
@q1[openssl]: count 1549, average 2565, total 3974650
@q1[kworker/169:1]: count 1, average 35276, total 35276

@q2[openssl]: count 1657, average 641, total 1063273
@q2[ksoftirqd/169]: count 232, average 654, total 151923
@q2[kworker/169:1]: count 2, average 18344, total 36689


@q4[ksoftirqd/169]: count 2577, average 955, total 2461320
@q4[openssl]: count 34525, average 955, total 32979132
@q4[kworker/169:1]: count 72, average 1216, total 87570

@q5[ksoftirqd/169]: count 19693, average 438, total 8631083
@q5[openssl]: count 268840, average 439, total 118156922
@q5[kworker/169:1]: count 568, average 463, total 263352

@uc: count 2154, average 6088, total 13113710

@q1[ksoftirqd/169]: count 146, average 2550, total 372365
@q1[openssl]: count 1571, average 2578, total 4051537

@q2[openssl]: count 1653, average 645, total 1066548
@q2[ksoftirqd/169]: count 218, average 670, total 146192


@q4[ksoftirqd/169]: count 2234, average 947, total 2116702
@q4[openssl]: count 34930, average 955, total 33360379

@q5[ksoftirqd/169]: count 17040, average 438, total 7467105
@q5[openssl]: count 272073, average 439, total 119520839

@uc: count 2608, average 6455, total 16835076

@q1[openssl]: count 1590, average 2599, total 4132628
@q1[ksoftirqd/169]: count 151, average 2703, total 408218
@q1[kworker/169:1]: count 2, average 19696, total 39393

@q2[openssl]: count 1667, average 645, total 1076680
@q2[ksoftirqd/169]: count 199, average 677, total 134816
@q2[kworker/169:1]: count 3, average 12136, total 36409


@q4[ksoftirqd/169]: count 2316, average 955, total 2212185
@q4[openssl]: count 34807, average 955, total 33267083
@q4[kworker/169:1]: count 36, average 1460, total 52587

@q5[ksoftirqd/169]: count 17782, average 437, total 7775002
@q5[openssl]: count 271067, average 439, total 119152853
@q5[kworker/169:1]: count 276, average 502, total 138789

@uc: count 2076, average 5988, total 12432589

@q1[ksoftirqd/169]: count 162, average 2449, total 396837
@q1[openssl]: count 1544, average 2591, total 4000638

@q2[openssl]: count 1644, average 644, total 1059704
@q2[ksoftirqd/169]: count 230, average 658, total 151406


@q4[ksoftirqd/169]: count 2472, average 952, total 2353513
@q4[openssl]: count 34693, average 956, total 33166760

@q5[ksoftirqd/169]: count 18873, average 438, total 8267390
@q5[openssl]: count 270251, average 439, total 118785611

@uc: count 2095, average 5957, total 12480207

@q1[ksoftirqd/169]: count 147, average 2434, total 357884
@q1[openssl]: count 1548, average 2621, total 4058262
@q1[kworker/169:1]: count 1, average 36298, total 36298

@q2[openssl]: count 1647, average 646, total 1065137
@q2[ksoftirqd/169]: count 216, average 663, total 143369
@q2[kworker/169:1]: count 3, average 13311, total 39934


@q4[openssl]: count 34665, average 956, total 33143508
@q4[ksoftirqd/169]: count 2405, average 965, total 2321308
@q4[kworker/169:1]: count 77, average 1198, total 92275

@q5[ksoftirqd/169]: count 18377, average 438, total 8054858
@q5[openssl]: count 270133, average 439, total 118728317
@q5[kworker/169:1]: count 605, average 469, total 284075

@uc: count 2747, average 16105, total 44240643

@q1[ksoftirqd/169]: count 144, average 2388, total 343909
@q1[openssl]: count 1592, average 2575, total 4099908

@q2[openssl]: count 1669, average 640, total 1069628
@q2[ksoftirqd/169]: count 220, average 657, total 144712


@q4[ksoftirqd/169]: count 2273, average 950, total 2159727
@q4[openssl]: count 34898, average 955, total 33328809

@q5[ksoftirqd/169]: count 17310, average 439, total 7605078
@q5[openssl]: count 271672, average 439, total 119376253

@uc: count 2601, average 6098, total 15863414

@q1[openssl]: count 1578, average 2559, total 4038197
@q1[ksoftirqd/169]: count 157, average 2624, total 412124

@q2[openssl]: count 1677, average 640, total 1074535
@q2[ksoftirqd/169]: count 223, average 679, total 151518
@q2[kworker/169:1]: count 2, average 16782, total 33564


@q4[openssl]: count 34824, average 954, total 33225263
@q4[ksoftirqd/169]: count 2315, average 963, total 2231451
@q4[kworker/169:1]: count 39, average 1329, total 51856

@q5[ksoftirqd/169]: count 17699, average 439, total 7777243
@q5[openssl]: count 271147, average 439, total 119077170
@q5[kworker/169:1]: count 308, average 489, total 150796

@uc: count 2246, average 5970, total 13410079

@q1[ksoftirqd/169]: count 156, average 2432, total 379521
@q1[openssl]: count 1550, average 2647, total 4103208

@q2[openssl]: count 1629, average 648, total 1055907
@q2[ksoftirqd/169]: count 222, average 657, total 145872


@q4[ksoftirqd/169]: count 2221, average 953, total 2118029
@q4[openssl]: count 34913, average 955, total 33342840

@q5[ksoftirqd/169]: count 16900, average 438, total 7405095
@q5[openssl]: count 272157, average 442, total 120433947

@uc: count 2169, average 5904, total 12806593

@q1[ksoftirqd/169]: count 156, average 2493, total 389025
@q1[openssl]: count 1546, average 2652, total 4100284

@q2[openssl]: count 1635, average 649, total 1062055
@q2[ksoftirqd/169]: count 220, average 661, total 145592


@q4[ksoftirqd/169]: count 2210, average 955, total 2111921
@q4[openssl]: count 34927, average 956, total 33405438

@q5[ksoftirqd/169]: count 16819, average 438, total 7372526
