Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@uc: count 5390, average 3774, total 20342651




@q4[ksoftirqd/169]: count 17776, average 1330, total 23652712

@q5[ksoftirqd/169]: count 141376, average 442, total 62510311

@uc: count 4274, average 6586, total 28151599




@q4[ksoftirqd/169]: count 17598, average 1289, total 22686780

@q5[ksoftirqd/169]: count 140017, average 440, total 61633259

@uc: count 5390, average 7268, total 39177508




@q4[ksoftirqd/169]: count 17612, average 1291, total 22743682

@q5[ksoftirqd/169]: count 140123, average 440, total 61708591

@uc: count 5169, average 4901, total 25333605




@q4[ksoftirqd/169]: count 18008, average 1291, total 23255001

@q5[ksoftirqd/169]: count 143220, average 440, total 63104568

@uc: count 6488, average 4362, total 28305541




@q4[ksoftirqd/169]: count 17824, average 1283, total 22885688

@q5[ksoftirqd/169]: count 141758, average 441, total 62573046

@uc: count 7070, average 2768, total 19572547

@q1[swapper/169]: count 32, average 2900, total 92814
@q1[ksoftirqd/169]: count 9, average 7225, total 65026

@q2[swapper/169]: count 51, average 760, total 38784
@q2[ksoftirqd/169]: count 17, average 2828, total 48089
@q2[iperf]: count 1, average 9147, total 9147


@q4[swapper/169]: count 1716, average 1063, total 1825756
@q4[ksoftirqd/169]: count 20780, average 1246, total 25895786
@q4[iperf]: count 46, average 1647, total 75803

@q5[ksoftirqd/169]: count 165240, average 455, total 75287173
@q5[swapper/169]: count 13523, average 467, total 6328207
@q5[iperf]: count 363, average 490, total 178117

@uc: count 12128, average 3071, total 37251137
