oai-udr     | [2023-08-09 07:37:58.646] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.647] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.651] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.652] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.657] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.658] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.662] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.663] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.667] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.670] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.674] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.675] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.680] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.681] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.685] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.687] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.691] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.693] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.698] [udr_mysql] [error] [UE Id 208950000000676] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000676'
oai-udr     | [2023-08-09 07:37:58.700] [udr_mysql] [error] [UE Id 208950000000676] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000676'
oai-udr     | [2023-08-09 07:37:58.704] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.705] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.709] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.711] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.715] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.716] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.720] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.722] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.727] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.729] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.734] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
