Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.





@uc: count 590, average 65740, total 38786673






@uc: count 143, average 14867, total 2125996






@uc: count 214, average 11762, total 2517130






@q2[ksoftirqd/169]: count 159, average 1135, total 180487


@q4[ksoftirqd/169]: count 892, average 1628, total 1452182
@q4[swapper/169]: count 18945, average 1639, total 31052761

@q5[ksoftirqd/169]: count 6671, average 713, total 4762220
@q5[swapper/169]: count 146410, average 1425, total 208648666

@uc: count 20505, average 2268, total 46506570

@q1[swapper/169]: count 399, average 3292, total 1313567
@q1[ksoftirqd/169]: count 61, average 3807, total 232229
@q1[iperf]: count 2, average 19747, total 39494

@q2[swapper/169]: count 1579, average 1065, total 1681895
@q2[ksoftirqd/169]: count 147, average 1170, total 172054
@q2[iperf]: count 2, average 12558, total 25117


@q4[ksoftirqd/169]: count 913, average 1628, total 1487234
@q4[swapper/169]: count 18919, average 1636, total 30954345
@q4[iperf]: count 2, average 18620, total 37240

@q5[swapper/169]: count 146189, average 711, total 103953329
@q5[ksoftirqd/169]: count 6896, average 715, total 4937327
@q5[iperf]: count 6, average 4698, total 28193

@uc: count 20503, average 2653, total 54409962

@q1[swapper/169]: count 382, average 3230, total 1234092
@q1[ksoftirqd/169]: count 73, average 3850, total 281103
@q1[iperf]: count 3, average 12446, total 37340

@q2[swapper/169]: count 1550, average 1065, total 1652186
@q2[ksoftirqd/169]: count 160, average 1126, total 180219
@q2[iperf]: count 3, average 4602, total 13807


@q4[ksoftirqd/169]: count 892, average 1601, total 1428355
@q4[swapper/169]: count 18937, average 1635, total 30965884
@q4[iperf]: count 3, average 5563, total 16690

@q5[swapper/169]: count 146371, average 712, total 104235123
@q5[ksoftirqd/169]: count 6646, average 713, total 4740558
@q5[iperf]: count 11, average 1847, total 20318

@uc: count 20060, average 2497, total 50090666

@q1[swapper/169]: count 388, average 3282, total 1273416
@q1[ksoftirqd/169]: count 79, average 3610, total 285228
@q1[iperf]: count 3, average 13502, total 40507

@q2[swapper/169]: count 1557, average 1059, total 1649332
@q2[ksoftirqd/169]: count 175, average 1128, total 197457
@q2[iperf]: count 3, average 4982, total 14947


@q4[ksoftirqd/169]: count 932, average 1621, total 1511335
@q4[swapper/169]: count 18912, average 1635, total 30925229
@q4[iperf]: count 3, average 6168, total 18505

@q5[swapper/169]: count 146085, average 711, total 103957902
@q5[ksoftirqd/169]: count 6942, average 714, total 4958236
@q5[iperf]: count 12, average 1943, total 23323

@uc: count 20479, average 2526, total 51734407

@q1[swapper/169]: count 389, average 3246, total 1262709
@q1[ksoftirqd/169]: count 75, average 3670, total 275291

@q2[swapper/169]: count 1561, average 1051, total 1641836
@q2[ksoftirqd/169]: count 165, average 1233, total 203533


@q4[ksoftirqd/169]: count 959, average 1626, total 1559864
@q4[swapper/169]: count 18873, average 1638, total 30917213

