Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.





@uc: count 507, average 101174, total 51295282
@q2[openssl]: count 1437, average 593, total 852925
@q2[ksoftirqd/169]: count 97, average 702, total 68129
@q2[kworker/169:1]: count 1, average 14097, total 14097


@q4[ksoftirqd/169]: count 653, average 960, total 627159
@q4[openssl]: count 30109, average 960, total 28915883
@q4[kworker/169:1]: count 1, average 38613, total 38613

@q5[openssl]: count 233264, average 429, total 100302351
@q5[ksoftirqd/169]: count 4840, average 430, total 2084108
@q5[kworker/169:1]: count 7, average 4657, total 32601

@uc: count 1796, average 5967, total 10718370

@q1[openssl]: count 669, average 1743, total 1166558
@q1[ksoftirqd/169]: count 56, average 2037, total 114111

@q2[openssl]: count 1399, average 599, total 838456
@q2[ksoftirqd/169]: count 116, average 695, total 80660


@q4[ksoftirqd/169]: count 744, average 947, total 705146
@q4[openssl]: count 30006, average 958, total 28767939

@q5[ksoftirqd/169]: count 5489, average 430, total 2363775
@q5[openssl]: count 232656, average 430, total 100061200

@uc: count 2143, average 6641, total 14232413

@q1[openssl]: count 671, average 1739, total 1167057
@q1[ksoftirqd/169]: count 47, average 1853, total 87119

@q2[openssl]: count 1439, average 599, total 862753
@q2[ksoftirqd/169]: count 94, average 655, total 61640
@q2[kworker/169:1]: count 1, average 14768, total 14768


@q4[ksoftirqd/169]: count 677, average 951, total 644258
@q4[openssl]: count 30040, average 957, total 28753474
@q4[kworker/169:1]: count 33, average 2141, total 70666

@q5[openssl]: count 232784, average 429, total 100005846
@q5[ksoftirqd/169]: count 5007, average 430, total 2156772
@q5[kworker/169:1]: count 261, average 553, total 144410

@uc: count 1995, average 6795, total 13556249

@q1[openssl]: count 666, average 1728, total 1151345
@q1[ksoftirqd/169]: count 54, average 1881, total 101610

@q2[openssl]: count 1398, average 602, total 842123
@q2[ksoftirqd/169]: count 111, average 712, total 79130
@q2[kworker/169:1]: count 1, average 14447, total 14447


@q4[ksoftirqd/169]: count 782, average 948, total 741910
@q4[openssl]: count 29921, average 955, total 28585072
@q4[kworker/169:1]: count 32, average 2164, total 69265

@q5[openssl]: count 232089, average 429, total 99678141
@q5[ksoftirqd/169]: count 5803, average 431, total 2502284
@q5[kworker/169:1]: count 250, average 558, total 139615

@uc: count 1934, average 6548, total 12664583

@q1[openssl]: count 670, average 1743, total 1168478
@q1[ksoftirqd/169]: count 52, average 1980, total 102965

@q2[openssl]: count 1413, average 601, total 849844
@q2[ksoftirqd/169]: count 111, average 660, total 73314


@q4[openssl]: count 29851, average 957, total 28571855
@q4[ksoftirqd/169]: count 882, average 959, total 846029

@q5[openssl]: count 231530, average 429, total 99531326
@q5[ksoftirqd/169]: count 6595, average 431, total 2848799

@uc: count 1912, average 6771, total 12947107

@q1[openssl]: count 680, average 1768, total 1202896
@q1[ksoftirqd/169]: count 48, average 2161, total 103772

@q2[openssl]: count 1413, average 614, total 868055
@q2[ksoftirqd/169]: count 93, average 708, total 65924


@q4[openssl]: count 30057, average 961, total 28913265
@q4[ksoftirqd/169]: count 657, average 963, total 632827

@q5[openssl]: count 233148, average 430, total 100374573
@q5[ksoftirqd/169]: count 4872, average 431, total 2102516

@uc: count 2699, average 16621, total 44860997

@q1[openssl]: count 675, average 1747, total 1179264
@q1[ksoftirqd/169]: count 48, average 2145, total 103006

@q2[openssl]: count 1396, average 602, total 841366
@q2[ksoftirqd/169]: count 103, average 668, total 68893
@q2[kworker/169:1]: count 1, average 14788, total 14788


@q4[ksoftirqd/169]: count 759, average 955, total 725325
@q4[openssl]: count 29937, average 955, total 28618962
@q4[kworker/169:1]: count 32, average 2184, total 69895

@q5[openssl]: count 232234, average 429, total 99834737
@q5[ksoftirqd/169]: count 5663, average 431, total 2443991
@q5[kworker/169:1]: count 250, average 554, total 138592

@uc: count 2189, average 6762, total 14802720

@q1[openssl]: count 674, average 1791, total 1207402
@q1[ksoftirqd/169]: count 53, average 1919, total 101724
@q1[kworker/169:1]: count 1, average 12023, total 12023

@q2[openssl]: count 1388, average 596, total 828535
@q2[ksoftirqd/169]: count 109, average 738, total 80529
@q2[kworker/169:1]: count 2, average 4037, total 8075


@q4[ksoftirqd/169]: count 765, average 948, total 725228
@q4[openssl]: count 29883, average 958, total 28635809
@q4[kworker/169:1]: count 60, average 1598, total 95898

@q5[openssl]: count 231916, average 429, total 99682673
@q5[ksoftirqd/169]: count 5658, average 430, total 2435379
@q5[kworker/169:1]: count 471, average 496, total 233971

@uc: count 1823, average 5863, total 10688986

@q1[openssl]: count 656, average 1774, total 1164000
@q1[ksoftirqd/169]: count 63, average 1944, total 122502
@q1[kworker/169:1]: count 1, average 16851, total 16851

@q2[openssl]: count 1348, average 600, total 810047
@q2[ksoftirqd/169]: count 139, average 677, total 94217
@q2[kworker/169:1]: count 2, average 7189, total 14378


@q4[ksoftirqd/169]: count 1082, average 957, total 1036333
@q4[openssl]: count 29600, average 957, total 28342321
@q4[kworker/169:1]: count 32, average 2014, total 64466

@q5[openssl]: count 229809, average 429, total 98798687
@q5[ksoftirqd/169]: count 8077, average 430, total 3477991
@q5[kworker/169:1]: count 253, average 538, total 136348

@uc: count 1914, average 6469, total 12383544

@q1[openssl]: count 670, average 1768, total 1184861
@q1[ksoftirqd/169]: count 54, average 1963, total 106009

@q2[openssl]: count 1403, average 602, total 845890
@q2[ksoftirqd/169]: count 114, average 671, total 76569


@q4[openssl]: count 30007, average 957, total 28718525
@q4[ksoftirqd/169]: count 721, average 965, total 695847

@q5[openssl]: count 232719, average 429, total 100065282
@q5[ksoftirqd/169]: count 5334, average 431, total 2299700

@uc: count 2205, average 6315, total 13925151

@q1[openssl]: count 665, average 1753, total 1166065
@q1[ksoftirqd/169]: count 59, average 2123, total 125268

@q2[openssl]: count 1383, average 601, total 831375
@q2[ksoftirqd/169]: count 117, average 691, total 80908


@q4[ksoftirqd/169]: count 689, average 944, total 650977
@q4[openssl]: count 30032, average 959, total 28810602

@q5[openssl]: count 233047, average 429, total 100153764
@q5[ksoftirqd/169]: count 5042, average 432, total 2178954

@uc: count 1936, average 6204, total 12012430

