Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q2[kworker/169:2]: count 1, average 23784, total 23784


@q4[swapper/169]: count 21514, average 1012, total 21793446
@q4[kworker/169:2]: count 46, average 1368, total 62930
@q4[ksoftirqd/169]: count 22953, average 1429, total 32809665
@q4[iperf]: count 18, average 1746, total 31440

@q5[swapper/169]: count 169174, average 456, total 77224349
@q5[kworker/169:2]: count 362, average 477, total 172712
@q5[iperf]: count 139, average 516, total 71814
@q5[ksoftirqd/169]: count 182105, average 634, total 115515725

@uc: count 32113, average 2195, total 70488196

@q1[ksoftirqd/169]: count 117, average 2702, total 316151
@q1[swapper/169]: count 438, average 2734, total 1197630

@q2[swapper/169]: count 686, average 645, total 443145
@q2[ksoftirqd/169]: count 183, average 805, total 147468


@q4[swapper/169]: count 21646, average 1037, total 22459415
@q4[ksoftirqd/169]: count 22570, average 1444, total 32604033

@q5[swapper/169]: count 170266, average 466, total 79506639
@q5[ksoftirqd/169]: count 178995, average 636, total 113953263

@uc: count 32049, average 1957, total 62749068

@q1[ksoftirqd/169]: count 116, average 2709, total 314303
@q1[swapper/169]: count 536, average 2739, total 1468387
@q1[iperf]: count 1, average 25689, total 25689
@q1[kworker/169:2]: count 1, average 39324, total 39324

@q2[swapper/169]: count 774, average 651, total 504276
@q2[ksoftirqd/169]: count 186, average 807, total 150242
@q2[iperf]: count 4, average 7777, total 31108
@q2[kworker/169:2]: count 1, average 9658, total 9658


@q4[swapper/169]: count 23061, average 1013, total 23379187
@q4[kworker/169:2]: count 48, average 1323, total 63517
@q4[ksoftirqd/169]: count 21130, average 1429, total 30199141
@q4[iperf]: count 199, average 1541, total 306761

@q5[swapper/169]: count 181310, average 457, total 82898368
@q5[kworker/169:2]: count 378, average 479, total 181401
@q5[ksoftirqd/169]: count 167564, average 632, total 105909003
@q5[iperf]: count 1575, average 683, total 1077169

@uc: count 29248, average 2013, total 58877564

@q1[swapper/169]: count 462, average 2730, total 1261370
@q1[ksoftirqd/169]: count 139, average 2832, total 393671

@q2[swapper/169]: count 656, average 653, total 428476
@q2[ksoftirqd/169]: count 211, average 721, total 152220


@q4[swapper/169]: count 20721, average 1032, total 21397859
@q4[ksoftirqd/169]: count 23379, average 1432, total 33486087

@q5[swapper/169]: count 163026, average 464, total 75731064
@q5[ksoftirqd/169]: count 185310, average 633, total 117375314

@uc: count 30775, average 1670, total 51423435

@q1[swapper/169]: count 496, average 2709, total 1343860
@q1[ksoftirqd/169]: count 115, average 2996, total 344581

@q2[swapper/169]: count 757, average 653, total 494748
@q2[ksoftirqd/169]: count 189, average 813, total 153759


@q4[swapper/169]: count 22651, average 1024, total 23213641
@q4[ksoftirqd/169]: count 21921, average 1431, total 31389972

@q5[swapper/169]: count 178187, average 460, total 81998384
@q5[ksoftirqd/169]: count 173829, average 631, total 109787426

@uc: count 30675, average 1658, total 50876809

@q1[swapper/169]: count 510, average 2728, total 1391627
@q1[ksoftirqd/169]: count 105, average 2743, total 288064

@q2[swapper/169]: count 797, average 683, total 544994
@q2[ksoftirqd/169]: count 177, average 717, total 127028
@q2[kworker/169:2]: count 2, average 7283, total 14567


@q4[swapper/169]: count 23759, average 1021, total 24258792
@q4[kworker/169:2]: count 71, average 1074, total 76273
@q4[ksoftirqd/169]: count 20918, average 1415, total 29616164

@q5[kworker/169:2]: count 563, average 450, total 253503
@q5[swapper/169]: count 186723, average 459, total 85733604
@q5[ksoftirqd/169]: count 165936, average 622, total 103351454

@uc: count 29917, average 2043, total 61141843

@q1[ksoftirqd/169]: count 107, average 2700, total 288948
@q1[swapper/169]: count 454, average 2778, total 1261453
@q1[iperf]: count 2, average 20693, total 41387

@q2[swapper/169]: count 690, average 653, total 451067
@q2[ksoftirqd/169]: count 171, average 847, total 144926
@q2[iperf]: count 3, average 8405, total 25217


@q4[swapper/169]: count 21162, average 1034, total 21886441
@q4[ksoftirqd/169]: count 23376, average 1439, total 33650829
