Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q2[ksoftirqd/169]: count 130, average 907, total 117933


@q4[swapper/169]: count 28035, average 1012, total 28393180
@q4[ksoftirqd/169]: count 15924, average 1452, total 23122905

@q5[swapper/169]: count 220423, average 452, total 99639611
@q5[ksoftirqd/169]: count 126340, average 641, total 81092619

@uc: count 25980, average 1834, total 47670301

@q1[swapper/169]: count 536, average 2686, total 1439923
@q1[ksoftirqd/169]: count 93, average 3350, total 311576

@q2[swapper/169]: count 895, average 662, total 593091
@q2[ksoftirqd/169]: count 141, average 881, total 124264


@q4[swapper/169]: count 26434, average 1015, total 26838878
@q4[ksoftirqd/169]: count 17312, average 1463, total 25343821

@q5[swapper/169]: count 207842, average 453, total 94172412
@q5[ksoftirqd/169]: count 137317, average 648, total 89004858

@uc: count 27083, average 1736, total 47035954

@q1[swapper/169]: count 459, average 2805, total 1287652
@q1[ksoftirqd/169]: count 105, average 2987, total 313716

@q2[swapper/169]: count 769, average 698, total 537439
@q2[ksoftirqd/169]: count 162, average 712, total 115437
@q2[iperf]: count 2, average 14171, total 28343


@q4[swapper/169]: count 24245, average 1027, total 24904230
@q4[ksoftirqd/169]: count 19647, average 1448, total 28458798
@q4[iperf]: count 34, average 1516, total 51575

@q5[swapper/169]: count 190909, average 462, total 88253535
@q5[iperf]: count 268, average 504, total 135109
@q5[ksoftirqd/169]: count 155874, average 634, total 98935139

@uc: count 27903, average 2196, total 61279572

@q1[swapper/169]: count 482, average 2765, total 1333152
@q1[ksoftirqd/169]: count 101, average 2791, total 281953

@q2[swapper/169]: count 796, average 676, total 538632
@q2[ksoftirqd/169]: count 159, average 733, total 116687


@q4[swapper/169]: count 25071, average 1029, total 25803082
@q4[ksoftirqd/169]: count 18646, average 1449, total 27026799

@q5[swapper/169]: count 197305, average 458, total 90382289
@q5[ksoftirqd/169]: count 147850, average 645, total 95379648

@uc: count 27946, average 1922, total 53721863

@q1[swapper/169]: count 523, average 2750, total 1438289
@q1[ksoftirqd/169]: count 110, average 2965, total 326158

@q2[swapper/169]: count 855, average 697, total 596680
@q2[ksoftirqd/169]: count 169, average 716, total 121115


@q4[swapper/169]: count 26226, average 1024, total 26876944
@q4[ksoftirqd/169]: count 17558, average 1443, total 25337314

@q5[swapper/169]: count 206308, average 456, total 94147209
@q5[ksoftirqd/169]: count 139273, average 637, total 88853112

@uc: count 29170, average 1824, total 53230612

@q1[swapper/169]: count 574, average 2792, total 1602862
@q1[ksoftirqd/169]: count 90, average 3310, total 297908
@q1[kworker/169:2]: count 5, average 9960, total 49803

@q2[swapper/169]: count 969, average 665, total 645055
@q2[ksoftirqd/169]: count 136, average 872, total 118623
@q2[kworker/169:2]: count 5, average 4684, total 23424


@q4[swapper/169]: count 27311, average 1019, total 27850089
@q4[ksoftirqd/169]: count 16407, average 1461, total 23986830
@q4[kworker/169:2]: count 29, average 1499, total 43476

@q5[swapper/169]: count 214831, average 454, total 97685094
@q5[kworker/169:2]: count 218, average 501, total 109331
@q5[ksoftirqd/169]: count 130186, average 648, total 84431425

@uc: count 29248, average 1887, total 55220159

@q1[swapper/169]: count 492, average 2693, total 1325097
@q1[ksoftirqd/169]: count 99, average 3168, total 313684

@q2[swapper/169]: count 805, average 663, total 534234
@q2[ksoftirqd/169]: count 152, average 851, total 129482


@q4[swapper/169]: count 25878, average 1024, total 26516667
@q4[ksoftirqd/169]: count 18489, average 1451, total 26833284

@q5[swapper/169]: count 203686, average 456, total 92994386
@q5[ksoftirqd/169]: count 146718, average 642, total 94255000

@uc: count 28146, average 3283, total 92423301

@q1[swapper/169]: count 621, average 2738, total 1700627
@q1[ksoftirqd/169]: count 85, average 2936, total 249606

@q2[swapper/169]: count 1005, average 666, total 669573
@q2[ksoftirqd/169]: count 128, average 923, total 118240


@q4[swapper/169]: count 30029, average 1007, total 30240579
@q4[ksoftirqd/169]: count 13640, average 1453, total 19826469

@q5[swapper/169]: count 236187, average 449, total 106120148
@q5[ksoftirqd/169]: count 108125, average 644, total 69655720

@uc: count 25585, average 1976, total 50558505

@q1[swapper/169]: count 537, average 2802, total 1504910
@q1[ksoftirqd/169]: count 85, average 2925, total 248696

@q2[swapper/169]: count 875, average 692, total 606279
@q2[ksoftirqd/169]: count 144, average 714, total 102820


@q4[swapper/169]: count 27035, average 1021, total 27629249
@q4[ksoftirqd/169]: count 16605, average 1459, total 24227372
@q4[iperf]: count 8, average 2096, total 16772

@q5[swapper/169]: count 212753, average 455, total 96924353
@q5[iperf]: count 64, average 552, total 35328
@q5[ksoftirqd/169]: count 131784, average 644, total 84993923

@uc: count 26949, average 1839, total 49565201

@q1[swapper/169]: count 620, average 2693, total 1669814
@q1[ksoftirqd/169]: count 80, average 3245, total 259639

@q2[swapper/169]: count 1009, average 661, total 667241
@q2[ksoftirqd/169]: count 131, average 874, total 114538


@q4[swapper/169]: count 29965, average 1013, total 30372295
@q4[ksoftirqd/169]: count 13693, average 1467, total 20092716

@q5[swapper/169]: count 235657, average 451, total 106402904
@q5[ksoftirqd/169]: count 108540, average 649, total 70530933

@uc: count 23782, average 2019, total 48037505

@q1[swapper/169]: count 557, average 2744, total 1528719
@q1[ksoftirqd/169]: count 94, average 3122, total 293496

@q2[swapper/169]: count 909, average 662, total 602346
@q2[ksoftirqd/169]: count 157, average 841, total 132163
@q2[iperf]: count 2, average 11446, total 22893


@q4[swapper/169]: count 27602, average 1012, total 27944470
@q4[iperf]: count 31, average 1299, total 40294
@q4[ksoftirqd/169]: count 15948, average 1457, total 23246373

@q5[swapper/169]: count 217137, average 451, total 98033415
@q5[iperf]: count 244, average 460, total 112430
@q5[ksoftirqd/169]: count 126405, average 647, total 81838959

@uc: count 26778, average 1876, total 50243284

@q1[swapper/169]: count 484, average 2785, total 1347972
@q1[ksoftirqd/169]: count 107, average 2913, total 311792
@q1[iperf]: count 1, average 38492, total 38492

@q2[swapper/169]: count 763, average 679, total 518780
@q2[ksoftirqd/169]: count 161, average 866, total 139543
@q2[iperf]: count 1, average 23314, total 23314


@q4[swapper/169]: count 24195, average 1028, total 24879279
@q4[ksoftirqd/169]: count 19455, average 1452, total 28251205
@q4[iperf]: count 104, average 1540, total 160181

@q5[swapper/169]: count 190393, average 459, total 87469109
@q5[ksoftirqd/169]: count 154349, average 646, total 99743723
