Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[swapper/169]: count 419, average 2713, total 1136974
@q1[ksoftirqd/169]: count 136, average 2772, total 377124

@q2[ksoftirqd/169]: count 210, average 692, total 145382
@q2[swapper/169]: count 662, average 703, total 465891


@q4[swapper/169]: count 20976, average 1044, total 21904389
@q4[ksoftirqd/169]: count 22596, average 1450, total 32772430

@q5[swapper/169]: count 164990, average 470, total 77663138
@q5[ksoftirqd/169]: count 179122, average 655, total 117489790

@uc: count 30690, average 1995, total 61248924

@q1[swapper/169]: count 476, average 2639, total 1256178
@q1[ksoftirqd/169]: count 122, average 2976, total 363081

@q2[swapper/169]: count 733, average 669, total 491033
@q2[ksoftirqd/169]: count 193, average 821, total 158488


@q4[swapper/169]: count 22597, average 1034, total 23369301
@q4[ksoftirqd/169]: count 21187, average 1427, total 30245583
@q4[iperf]: count 80, average 1850, total 148053

@q5[swapper/169]: count 177711, average 465, total 82740766
@q5[ksoftirqd/169]: count 168021, average 645, total 108469083
@q5[iperf]: count 637, average 739, total 470764

@uc: count 31170, average 3062, total 95460721

@q1[swapper/169]: count 483, average 2739, total 1323325
@q1[ksoftirqd/169]: count 134, average 2748, total 368330

@q2[swapper/169]: count 730, average 663, total 484703
@q2[ksoftirqd/169]: count 222, average 810, total 179914
@q2[iperf]: count 2, average 16105, total 32210


@q4[swapper/169]: count 22309, average 1029, total 22957783
@q4[ksoftirqd/169]: count 21771, average 1428, total 31100316
@q4[iperf]: count 34, average 1513, total 51447

@q5[swapper/169]: count 175425, average 462, total 81177751
@q5[iperf]: count 267, average 492, total 131487
@q5[ksoftirqd/169]: count 172581, average 641, total 110771824

@uc: count 30268, average 1891, total 57264515

@q1[swapper/169]: count 416, average 2617, total 1088887
@q1[ksoftirqd/169]: count 139, average 2910, total 404528

@q2[swapper/169]: count 658, average 667, total 439140
@q2[ksoftirqd/169]: count 195, average 758, total 147836


@q4[swapper/169]: count 20333, average 1036, total 21080645
@q4[ksoftirqd/169]: count 23157, average 1465, total 33927507

@q5[swapper/169]: count 159883, average 466, total 74658445
@q5[ksoftirqd/169]: count 183588, average 658, total 120849053

@uc: count 33645, average 1497, total 50382296

@q1[swapper/169]: count 470, average 2658, total 1249266
@q1[ksoftirqd/169]: count 148, average 2693, total 398600
@q1[iperf]: count 3, average 13288, total 39865

@q2[ksoftirqd/169]: count 212, average 688, total 145965
@q2[swapper/169]: count 697, average 695, total 484490
@q2[iperf]: count 4, average 4694, total 18776


@q4[swapper/169]: count 21432, average 1035, total 22195829
@q4[iperf]: count 39, average 1331, total 51918
@q4[ksoftirqd/169]: count 22130, average 1449, total 32088383

@q5[swapper/169]: count 168495, average 465, total 78417688
@q5[iperf]: count 301, average 473, total 142574
@q5[ksoftirqd/169]: count 175428, average 652, total 114540990

@uc: count 30641, average 1669, total 51165660

@q1[swapper/169]: count 470, average 2682, total 1260830
@q1[ksoftirqd/169]: count 137, average 2790, total 382256

@q2[ksoftirqd/169]: count 211, average 691, total 145885
@q2[swapper/169]: count 692, average 705, total 488189
@q2[iperf]: count 2, average 16125, total 32250


@q4[swapper/169]: count 22134, average 1036, total 22937143
@q4[ksoftirqd/169]: count 21448, average 1440, total 30902046
@q4[iperf]: count 14, average 2528, total 35398

@q5[swapper/169]: count 174063, average 466, total 81140323
@q5[iperf]: count 108, average 614, total 66320
@q5[ksoftirqd/169]: count 170042, average 649, total 110480493

@uc: count 31567, average 1831, total 57807576

@q1[swapper/169]: count 458, average 2741, total 1255402
@q1[ksoftirqd/169]: count 123, average 2759, total 339367
@q1[kworker/169:0]: count 1, average 33813, total 33813
@q1[iperf]: count 1, average 38593, total 38593

@q2[swapper/169]: count 704, average 665, total 468314
@q2[ksoftirqd/169]: count 190, average 781, total 148463
